rd,prime,buffer_from,buffer_to,packet_id,injection_rd
52,1,3,4,55,48
52,1,2,3,56,49
52,1,1,2,57,50
52,1,0,1,59,51
52,1,0,-1,58,51
52,1,-1,-2,60,52
53,0,8,9,50,46
53,0,7,8,52,46
53,0,6,7,51,46
53,0,5,6,54,47
53,0,4,5,53,47
53,0,3,4,55,48
53,0,2,3,56,49
53,0,1,2,57,50
53,0,0,1,59,51
53,0,0,-1,58,51
53,0,-1,-2,60,52
53,1,8,9,52,46
53,1,7,8,51,46
53,1,6,7,54,47
53,1,5,6,53,47
53,1,4,5,55,48
53,1,3,4,56,49
53,1,2,3,57,50
53,1,1,2,58,51
53,1,0,1,59,51
53,1,0,-1,60,52
54,0,8,9,52,46
54,0,7,8,51,46
54,0,6,7,54,47
54,0,5,6,53,47
54,0,4,5,55,48
54,0,3,4,56,49
54,0,2,3,57,50
54,0,1,2,58,51
54,0,0,1,59,51
54,0,0,-1,60,52
54,1,8,9,51,46
54,1,7,8,54,47
54,1,6,7,53,47
54,1,5,6,55,48
